full_name,phone_number,cccd,result,prob_full_payment,prob_non_payment,credit_policy,int_rate,installment,log_annual_inc,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,delinq_2yrs,pub_rec,purpose,time
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[2.8903717578961645],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:39:33
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[2.8903717578961645],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:35:53
1111,111,11,Trả nợ đầy đủ,1.0,0.0,[1],[18.0],[18.0],[2.8903717578961645],[18.0],[18],[18.0],[18.0],[18.0],[18],[188],[19999],['1'],2024-11-26 16:34:28
1111,111,11,Không trả nợ đầy đủ,0.06,0.94,[0],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],2024-11-26 16:34:13
1111,111,11,Không trả nợ đầy đủ,0.06,0.94,[0],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],2024-11-26 16:34:09
1111,111,11,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],2024-11-26 16:33:46
1111,111,11,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],2024-11-26 16:32:52
1111,111,11,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],2024-11-26 16:32:46
1,1,1,Không trả nợ đầy đủ,0.0,1.0,[1],[1.0],[1.0],[0.0],[1.0],[11],[1.0],[1.0],[11111.0],[1111111111111111],[1],[1],['1'],2024-11-26 16:20:15
1,1,1,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],2024-11-26 15:49:06
1257,48,48855,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],2024-11-26 14:52:14
1,1,1,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],2024-11-26 14:51:55
1,1,1,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[11.0],[1.0],[1.0],[1],[1],[1],['1'],2024-11-26 12:25:54
Nguyễn Hoàng Đức,123,123,Trả nợ đầy đủ,0.62,0.38,,,,,,,,,,,,,,
Nguyễn Hoàng Đức,123,123,Trả nợ đầy đủ,0.62,0.38,,,,,,,,,,,,,,
Nguyễn Hoàng Đức,123,123,Trả nợ đầy đủ,0.62,0.38,,,,,,,,,,,,,,
Nguyễn Hoàng B,456,789,Có thể không trả nợ đầy đủ,0.48,0.52,,,,,,,,,,,,,,
Đoàn Vĩ Cường,1234455,34234325234,Trả nợ đầy đủ,0.64,0.36,,,,,,,,,,,,,,
Nguyen Van B,123456,789456,Trả nợ đầy đủ,0.73,0.27,,,,,,,,,,,,,,
abc,999,888,Trả nợ đầy đủ,0.86,0.14,,,,,,,,,,,,,,
abc,999,888,Trả nợ đầy đủ,0.86,0.14,,,,,,,,,,,,,,
abc,999,888,Trả nợ đầy đủ,0.94,0.06,,,,,,,,,,,,,,
abc,999,888,Trả nợ đầy đủ,0.86,0.14,,,,,,,,,,,,,,
cbd,566,4886,Có thể không trả nợ đầy đủ,0.48,0.52,,,,,,,,,,,,,,
cbd,566,4886,Có thể không trả nợ đầy đủ,0.5,0.5,,,,,,,,,,,,,,
cbd,566,4886,Có thể không trả nợ đầy đủ,0.5,0.5,,,,,,,,,,,,,,
cbd,566,4886,Có thể không trả nợ đầy đủ,0.5,0.5,,,,,,,,,,,,,,
cbd,566,4886,Trả nợ đầy đủ,0.63,0.37,,,,,,,,,,,,,,
cbd,566,4886,Có thể không trả nợ đầy đủ,0.5,0.5,,,,,,,,,,,,,,
cbd,566,4886,Có thể trả nợ đầy đủ,0.54,0.46,,,,,,,,,,,,,,
cbd,566,4886,Có thể không trả nợ đầy đủ,0.5,0.5,,,,,,,,,,,,,,
cbd,566,4886,Có thể không trả nợ đầy đủ,0.5,0.5,,,,,,,,,,,,,,
qwe ,324212312,21312312,Trả nợ đầy đủ,0.86,0.14,,,,,,,,,,,,,,
qwe ,324212312,21312312,Trả nợ đầy đủ,0.89,0.11,,,,,,,,,,,,,,
qwe ,324212312,21312312,Trả nợ đầy đủ,0.88,0.12,,,,,,,,,,,,,,
qwe ,324212312,21312312,Trả nợ đầy đủ,0.59,0.41,,,,,,,,,,,,,,
qwe ,324212312,21312312,Trả nợ đầy đủ,0.82,0.18,,,,,,,,,,,,,,
qwe ,324212312,21312312,Trả nợ đầy đủ,0.61,0.39,,,,,,,,,,,,,,
Nguyễn Hoàng Đức,123,789,Không trả nợ đầy đủ,0.19,0.81,,,,,,,,,,,,,,
Nguyễn Hoàng Đức,123,789,Không trả nợ đầy đủ,0.14,0.86,,,,,,,,,,,,,,
Nguyễn Hoàng Đức,123,789,Có thể không trả nợ đầy đủ,0.48,0.52,,,,,,,,,,,,,,
Nguyễn Hoàng Đức,123,789,Trả nợ đầy đủ,0.96,0.04,,,,,,,,,,,,,,
Nguyễn Hoàng Đức,12345655,1111,Không trả nợ đầy đủ,0.06,0.94,,,,,,,,,,,,,,
fewfs,22222,222222,Trả nợ đầy đủ,0.72,0.28,,,,,,,,,,,,,,
fewfs,22222,222222,Không trả nợ đầy đủ,0.07,0.93,,,,,,,,,,,,,,
123,1111,111,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],
123,1111,111,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],
123,1111,111,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],
123,1111,111,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],
123,1111,111,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],
123,1111,111,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],
123,1111,111,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],
123,1111,111,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],
123,1111,111,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],
1,1,1,Không trả nợ đầy đủ,0.07,0.93,[1],[1.0],[1.0],[0.0],[1.0],[11],[1.0],[1.0],[1.0],[1],[1],[1],['1'],
1,1,1,Không trả nợ đầy đủ,0.07,0.93,[1],[1.0],[1.0],[0.0],[1.0],[11],[1.0],[1.0],[1.0],[1],[1],[1],['1'],
1,1,1,Không trả nợ đầy đủ,0.07,0.93,[1],[1.0],[1.0],[0.0],[1.0],[11],[1.0],[1.0],[1.0],[1],[1],[1],['1'],
Văn A,03123,456789,Không trả nợ đầy đủ,0.06,0.94,[1],[1.0],[1.0],[0.0],[1.0],[1],[1.0],[1.0],[1.0],[1],[1],[1],['1'],2024-11-26 17:44:12
